MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow,Latitude,Longitude,EsConfortable
7.1,13.0,8.8,2.04,0.12,41.0,24.0,22.0,100.0,98.0,1001.7,1005.4,8.0,8.0,8.6,11.5,1,4.6,1,-37.5622,143.8503,0
13.2,18.3,0.0,2.8800000000000003,6.7,48.0,24.0,20.0,73.0,73.0,1027.6,1023.8,4.2,4.8,14.2,17.0,0,0.0,0,-34.9799,116.7314,0
9.2,22.7,0.0,5.0,11.1,52.0,26.0,20.0,45.0,25.0,1030.1,1025.9,0.0,0.0,15.1,22.5,0,0.0,0,-31.9402,115.9674,0
15.3,26.1,0.0,10.4,9.36,44.0,24.0,19.0,48.0,40.0,1013.2,1009.8,7.0,7.0,17.5,24.3,0,0.0,0,-31.495,145.839,0
11.9,31.8,0.0,5.0,4.1,72.0,6.0,19.0,89.0,25.0,1006.7,1001.0,7.0,6.0,16.2,27.4,0,14.6,1,-38.1026,147.0654,0
2.4,19.0,0.0,1.0,5.800000000000001,17.0,0.0,13.0,100.0,56.0,1024.9,1020.5,4.2,1.6,5.8,18.8,0,0.2,0,-37.8232,145.0078,0
15.6,32.7,0.0,7.12,11.14,31.0,4.0,15.0,78.0,33.0,1014.2,1011.7,1.8,0.4,20.3,32.0,0,0.0,0,-41.4332,147.1572,0
-1.1,9.0,2.8,2.36,5.92,61.0,6.0,31.0,100.0,55.0,1021.7,1017.1,1.0,2.0,2.5,8.6,1,2.0,1,-37.5622,143.8503,0
11.9,31.8,0.0,8.0,11.0,30.0,11.0,11.0,36.0,10.0,1021.9,1019.2,1.0,1.0,15.4,30.9,0,0.0,0,-34.208,142.1246,0
19.1,32.6,0.0,9.2,9.5,61.0,39.0,19.0,56.0,34.0,1014.3,1009.7,1.0,4.0,22.2,30.7,0,11.6,1,-29.4648,149.8343,0
24.5,31.5,10.8,4.8,5.0,48.0,11.0,20.0,70.0,88.0,1004.4,1001.6,6.0,8.0,30.4,29.3,1,17.6,1,-16.9186,145.7781,0
3.5,19.2,0.0,2.6,8.959999999999999,44.0,9.0,30.0,68.0,40.0,1021.5,1019.5,0.4,1.0,11.0,17.8,0,0.0,0,-29.4648,149.8343,0
15.5,28.1,0.0,4.76,10.88,28.0,13.0,15.0,63.0,53.0,1018.8,1016.2,3.0,3.0,21.7,25.6,0,0.0,0,-34.0278,115.1058,1
18.7,34.9,0.0,8.8,11.32,28.0,13.0,7.0,22.0,9.0,1023.6,1020.5,7.0,7.0,25.5,33.9,0,0.0,0,-31.495,145.839,0
5.4,20.4,0.0,4.6,10.0,31.0,6.0,15.0,51.0,35.0,1019.4,1016.6,0.0,3.0,13.4,19.2,0,0.0,0,-31.495,145.839,0
17.8,28.2,0.0,6.08,9.26,39.0,11.0,30.0,64.0,62.0,1020.4,1015.8,3.2,4.6,25.2,25.3,0,0.0,0,-28.0167,153.4,1
1.2,15.3,0.0,2.28,7.88,28.0,9.0,17.0,68.0,48.0,1019.8,1017.8,3.4,7.0,10.6,15.0,0,0.0,0,-36.757,144.2794,0
24.6,29.0,0.0,9.04,6.42,56.0,9.0,30.0,56.0,73.0,1005.1,1007.7,4.0,8.0,26.7,21.7,0,3.4,1,-37.5622,143.8503,0
13.84,23.0,9.0,1.88,4.82,31.8,9.0,21.6,93.0,53.0,1019.6,1022.02,1.0,6.4,16.2,21.18,1,0.0,0,-32.9283,151.7817,0
16.8,24.9,0.2,9.8,10.8,41.0,6.0,17.0,62.0,53.0,1019.4,1016.7,3.0,3.0,20.5,23.1,0,0.0,0,-33.8688,151.2093,0
11.4,17.3,36.4,2.68,5.859999999999999,59.0,13.0,26.0,99.0,68.0,1002.2,1003.3,5.6,4.4,12.0,15.4,1,7.0,1,-34.9799,116.7314,0
18.4,30.7,0.0,4.0,7.7,59.0,13.0,28.0,68.0,47.0,1018.6,1013.7,1.0,3.0,22.5,29.6,0,12.0,1,-33.9399,151.1753,0
22.6,27.0,1.0,4.8,4.6,44.0,20.0,13.0,88.0,78.0,1015.8,1014.2,7.0,7.0,24.6,25.6,0,3.8,1,-29.0408,167.9547,0
7.0,25.5,0.0,4.4,10.2,24.0,13.0,9.0,44.0,22.0,1019.7,1015.5,2.0,2.0,15.7,25.0,0,0.0,0,-29.4648,149.8343,0
9.7,18.5,0.4,4.2,6.7,30.0,11.0,7.0,60.0,51.0,1016.0,1016.3,7.0,6.0,13.7,16.4,0,0.0,0,-37.8136,144.9631,0
2.7,15.3,0.8,3.8,9.7,41.0,24.0,22.0,66.0,27.0,1025.1,1021.1,1.0,7.0,7.0,15.0,0,0.0,0,-37.669,144.841,0
14.9,25.1,0.0,6.279999999999999,3.8,48.0,9.0,15.0,53.0,61.0,1023.8,1022.1,4.4,7.6,20.5,23.8,0,0.0,0,-34.4278,150.8931,0
23.0,30.6,0.2,9.04,9.320000000000002,28.0,15.0,11.0,77.0,51.0,1015.4,1012.6,7.0,7.0,23.7,29.8,0,0.0,0,-29.4648,149.8343,0
13.8,17.4,0.0,5.2,0.0,28.0,7.0,11.0,57.0,78.0,1014.3,1013.8,7.0,8.0,16.2,16.4,0,1.2,1,-29.4648,149.8343,0
14.4,43.1,0.0,10.0,13.0,46.0,17.0,31.0,21.0,8.0,1010.2,1009.0,0.0,3.0,32.0,41.8,0,0.0,0,-37.8289,140.7821,0
11.5,22.2,0.0,6.4,10.2,30.0,19.0,11.0,71.0,23.0,1021.6,1019.3,1.0,2.6,13.2,20.5,0,0.0,0,-34.208,142.1246,0
5.2,17.6,0.0,2.2,10.1,17.0,7.0,2.0,64.0,41.0,1029.4,1025.4,0.0,0.0,12.1,17.4,0,0.0,0,-31.495,145.839,0
17.5,24.3,1.2,8.8,8.3,61.0,28.0,30.0,78.0,31.0,1002.9,1006.0,7.0,1.0,17.6,23.4,1,0.0,0,-42.8821,147.3272,0
3.2,22.7,0.0,5.2,9.8,31.0,7.0,19.0,100.0,35.0,1018.2,1015.3,3.4,2.4,10.9,21.9,0,0.0,0,-37.9144,141.2692,0
23.6,30.9,2.0,6.2,7.2,37.0,19.0,24.0,81.0,63.0,1013.5,1010.7,7.0,4.0,25.8,29.7,1,22.4,1,-16.9186,145.7781,0
12.3,25.4,0.0,6.8,9.0,39.0,15.0,28.0,56.0,58.0,1020.8,1017.1,3.0,2.0,20.3,23.3,0,0.0,0,-19.259,146.8169,1
8.5,24.1,0.2,0.9,8.059999999999999,24.0,0.0,13.0,100.0,52.0,1024.2,1020.2,3.8,2.4,13.3,21.9,0,0.0,0,-37.8232,145.0078,0
18.0,20.7,0.2,4.36,2.54,70.0,44.0,35.0,86.0,80.0,1030.0,1028.2,7.4,7.4,20.0,18.5,0,6.0,1,-28.0167,153.4,0
16.4,20.8,12.6,4.8,3.0,44.6,19.0,9.0,92.0,91.0,1006.4,1007.6,7.0,7.0,17.1,16.5,1,8.8,1,-33.8688,151.2093,0
17.9,34.9,0.0,7.540000000000001,10.52,37.0,7.0,13.0,65.0,24.0,1020.0,1016.1,0.8,2.6,23.7,33.9,0,0.0,0,-36.0737,146.9135,0
8.0,30.6,0.0,7.480000000000001,10.580000000000002,67.0,20.0,13.0,60.0,19.0,1009.8,1002.9,1.8,3.0,15.1,30.2,0,8.2,1,-36.3339,141.6503,0
6.7,17.9,1.4,3.6,11.0,37.0,6.0,20.0,68.0,52.0,1024.1,1023.5,6.0,3.0,13.3,17.5,1,0.0,0,-38.3598,141.6032,0
10.3,15.4,8.0,5.08,4.0600000000000005,56.0,41.0,11.0,75.0,81.0,1022.8,1023.2,4.0,8.0,13.6,14.2,1,4.6,1,-34.4278,150.8931,0
17.6,19.7,4.6,12.4,1.56,37.0,2.0,20.0,95.0,87.0,1005.8,1006.1,7.0,7.6,17.8,18.1,1,0.4,0,-37.8232,145.0078,0
24.9,39.5,0.0,12.0,11.18,57.0,26.0,28.0,22.0,25.0,1007.2,1003.9,0.8,3.8,32.8,34.3,0,0.2,0,-25.3444,131.0369,0
18.7,31.0,0.0,8.6,9.74,37.0,19.0,7.0,63.0,36.0,1017.3,1014.8,3.4,5.0,22.9,29.5,0,0.0,0,-29.4648,149.8343,0
7.7,14.1,4.8,3.28,4.180000000000001,59.0,17.0,26.0,80.0,59.0,1009.0,1010.3,6.8,6.8,10.0,12.6,1,7.0,1,-37.9144,141.2692,0
9.7,36.2,0.0,11.4,12.3,31.0,15.0,11.0,6.0,2.0,1018.1,1013.6,1.0,1.0,28.5,35.0,0,0.0,0,-23.698,133.8807,0
9.4,24.4,0.0,3.8,6.3,31.0,20.0,7.0,49.0,36.0,1024.6,1021.7,3.0,4.0,18.9,22.6,0,0.0,0,-29.4648,149.8343,0
16.0,19.6,1.4,2.8,8.9,31.0,15.0,9.0,52.0,52.0,1015.4,1014.3,4.0,1.0,18.1,19.3,1,0.2,0,-29.0408,167.9547,1
17.6,31.7,0.0,5.6,7.5,41.0,9.0,11.0,81.0,35.0,1015.3,1011.4,7.0,7.0,23.0,31.2,0,15.8,1,-34.208,142.1246,0
23.5,40.2,0.0,15.6,12.1,57.0,24.0,11.0,35.0,13.0,1010.9,1007.0,5.0,3.0,27.6,38.5,0,0.4,0,-35.1082,147.3598,0
12.9,18.3,0.0,3.6,2.4,31.4,4.0,19.0,82.0,71.0,1015.6,1012.8,7.0,5.0,17.0,17.5,0,1.4,1,-35.0228,117.8814,0
25.1,34.5,3.2,5.4,11.3,37.0,13.0,24.0,76.0,39.0,1012.4,1008.8,2.0,3.0,29.1,33.2,1,0.0,0,-12.4634,130.8456,0
12.5,35.9,0.0,9.8,9.98,43.0,17.0,11.0,30.0,12.0,1017.8,1014.9,0.6,0.6,25.3,33.9,0,0.0,0,-32.9829,121.6309,0
6.1,24.0,0.0,3.2,10.4,46.0,24.0,33.0,72.0,40.0,1023.6,1019.5,1.0,3.0,14.1,23.0,0,0.2,0,-37.8289,140.7821,0
19.3,30.7,0.0,7.8,12.7,39.0,17.0,15.0,65.0,38.0,1016.7,1016.2,0.0,1.0,22.8,29.6,0,0.0,0,-31.495,145.839,0
17.1,27.6,0.0,5.8,11.0,37.0,13.0,26.0,56.0,50.0,1019.3,1015.0,1.0,1.0,23.6,26.4,0,0.0,0,-16.9186,145.7781,1
20.4,29.1,2.2,8.2,12.4,48.0,9.0,35.0,58.0,46.0,1015.2,1013.0,3.0,3.0,25.1,28.4,1,0.0,0,-33.9399,151.1753,0
12.1,32.6,0.0,8.68,10.38,43.0,11.0,15.0,36.0,16.0,1016.6,1012.8,0.2,2.0,20.6,31.8,0,0.0,0,-25.3444,131.0369,0
15.9,27.6,0.0,8.8,12.9,48.0,19.0,35.0,51.0,49.0,1014.7,1012.5,3.0,1.0,22.1,25.5,0,0.0,0,-31.9402,115.9674,0
15.1,32.8,0.0,8.48,10.0,30.0,6.0,13.0,33.0,16.0,1010.8,1008.0,1.2,1.4,24.7,30.7,0,0.0,0,-34.4747,138.9961,0
0.0,20.4,0.0,2.8400000000000003,9.42,17.0,4.0,9.0,78.0,37.0,1034.0,1030.1,0.8,2.2,8.0,20.0,0,0.0,0,-35.4244,149.0888,0
14.1,20.6,32.6,6.0200000000000005,1.6800000000000002,44.0,9.0,30.0,99.0,80.0,1024.1,1022.4,7.6,7.2,15.8,19.0,1,4.4,1,-37.8232,145.0078,0
2.7,12.8,0.6,0.8,4.1,28.0,0.0,13.0,100.0,76.0,1023.9,1024.3,7.2,7.2,4.3,12.3,0,1.4,1,-37.9144,141.2692,0
6.2,26.3,0.0,4.08,10.9,44.0,15.0,26.0,68.0,20.0,1012.5,1006.8,1.2,3.4,13.7,25.3,0,0.0,0,-36.3339,141.6503,0
11.0,24.1,0.0,4.08,10.28,33.0,13.0,30.0,52.0,53.0,1023.4,1018.7,0.4,1.8,18.6,21.6,0,0.0,0,-28.0167,153.4,1
14.1,19.2,0.0,4.0,2.4,44.0,22.0,26.0,60.0,61.0,1015.5,1014.4,7.0,7.0,16.8,17.7,0,0.2,0,-29.0408,167.9547,0
8.9,19.5,0.2,2.6000000000000005,8.080000000000002,30.0,11.0,11.0,91.0,70.0,1025.7,1021.8,4.0,6.4,15.7,18.8,0,3.0,1,-34.9799,116.7314,0
4.8,20.4,0.0,2.14,8.64,20.0,0.0,7.0,87.0,38.0,1024.8200000000002,1021.52,2.6,1.8,8.2,20.0,0,0.0,0,-33.7511,150.6942,0
7.5,32.7,0.0,8.440000000000001,9.28,33.0,11.0,11.0,78.0,32.0,1012.8,1007.4,4.4,4.0,17.6,29.2,0,12.0,1,-37.8289,140.7821,0
16.5,31.5,0.0,6.4,5.7,28.8,2.0,6.0,91.0,35.0,1013.1,1008.4,7.0,6.0,18.2,31.2,0,0.2,0,-37.7037,145.0831,0
-1.6,12.8,0.0,1.0,8.5,22.0,0.0,13.0,97.0,53.0,1028.5,1025.7,1.0,1.0,3.2,11.9,0,6.0,1,-34.208,142.1246,0
19.8,30.9,0.0,7.2,10.4,44.0,24.0,19.0,33.0,12.0,1017.7,1013.0,3.0,6.0,22.7,30.3,0,0.0,0,-12.4634,130.8456,0
12.3,22.2,0.0,7.2,4.8,52.0,20.0,31.0,61.0,50.0,1008.6,1008.0,4.0,7.0,16.7,19.9,0,0.0,0,-37.669,144.841,0
24.6,33.6,8.8,3.0,5.1,33.0,6.0,6.0,60.0,86.0,1008.7,1006.4,6.0,7.0,31.3,28.3,1,4.6,1,-16.9186,145.7781,0
14.6,26.2,0.0,8.0,9.580000000000002,44.0,30.0,20.0,39.0,24.0,1022.2,1017.2,0.0,0.0,17.3,25.5,0,0.0,0,-14.4647,132.2661,0
8.6,16.1,0.6,4.0,12.1,76.0,22.0,35.0,56.0,28.0,999.7,999.0,3.0,2.0,12.5,15.0,0,5.4,1,-42.8821,147.3272,0
18.0,25.0,0.0,4.0,9.3,40.8,17.0,22.8,85.0,57.4,1020.9,1019.0,6.0,5.0,20.4,22.7,0,0.0,0,-35.0228,117.8814,0
9.7,19.4,0.8,4.8,8.9,39.0,11.0,19.0,73.0,49.0,1024.5,1023.1,7.0,4.0,12.9,18.2,0,0.0,0,-37.7037,145.0831,0
3.6,15.1,2.0,4.54,7.5,28.0,4.0,13.0,100.0,58.0,1019.5,1019.5,4.8,3.4,8.3,14.6,1,0.0,0,-33.8789,150.743,0
10.9,23.3,0.0,3.8,10.2,28.0,7.0,9.0,56.0,32.0,1028.6,1024.3,1.0,0.0,15.1,23.0,0,0.0,0,-31.9505,115.8605,1
15.7,19.8,2.4,1.2,1.2,48.0,15.0,24.0,100.0,90.0,1007.0,1008.0,7.8,7.8,16.2,18.0,1,1.2,1,-37.9144,141.2692,0
12.1,30.3,0.0,12.6,13.1,48.0,24.0,15.0,39.0,14.0,1018.2,1014.7,0.0,0.0,19.7,28.8,0,0.0,0,-31.9402,115.9674,0
13.4,19.5,0.4,7.8,8.4,54.0,22.0,33.0,87.0,59.0,1014.7,1016.0,8.0,4.0,14.7,18.1,0,0.2,0,-38.3598,141.6032,0
5.2,14.4,0.0,2.0,7.2,56.0,31.0,24.0,79.0,60.0,1016.4,1014.3,5.0,2.0,8.9,13.6,0,3.8,1,-37.669,144.841,0
0.6,10.0,0.6,2.3600000000000003,7.8,33.0,13.0,20.0,69.0,48.0,1032.2,1029.8,1.0,2.0,5.5,9.3,0,0.0,0,-36.757,144.2794,0
20.4,29.0,2.2,8.440000000000001,5.58,48.0,2.0,19.0,100.0,59.0,1014.9,1014.1,6.2,2.8,22.0,28.4,1,7.0,1,-33.8789,150.743,0
4.7,14.9,0.0,3.4,2.7,24.0,9.0,13.0,68.0,60.0,1013.0,1011.6,6.0,7.0,7.9,14.1,0,0.6,0,-31.495,145.839,0
20.9,31.0,0.0,6.76,10.66,33.0,17.0,19.0,56.0,53.0,1010.8,1007.7,7.0,4.2,24.1,29.5,0,1.0,0,-23.698,133.8807,0
12.9,24.4,0.0,5.880000000000001,7.640000000000001,69.0,4.0,20.0,68.8,60.0,1019.92,1016.78,2.8,5.0,20.4,13.8,0,0.2,0,-33.7511,150.6942,0
10.7,18.6,9.0,3.8,9.4,35.0,15.0,17.0,69.0,60.0,1023.7,1022.3,1.0,1.0,14.6,17.6,1,0.0,0,-33.9399,151.1753,0
11.7,17.4,0.0,2.2,1.9,57.0,26.0,31.0,77.0,82.0,1030.2,1028.4,6.0,7.0,15.6,16.8,0,1.6,1,-33.9399,151.1753,0
-1.7,13.6,0.0,1.2,8.7,20.0,7.0,13.0,92.0,57.0,1034.4,1032.3,5.0,4.8,4.3,13.0,0,0.0,0,-34.4747,138.9961,0
4.8,13.1,1.8,0.8,4.2,54.0,17.0,24.0,91.0,78.0,1019.9,1013.9,3.0,8.0,7.1,12.1,1,17.8,1,-38.3598,141.6032,0
9.2,14.3,4.4,1.28,6.119999999999999,57.0,15.0,31.0,88.0,54.0,1012.9,1014.8,8.0,8.0,9.3,12.3,1,1.2,1,-37.8289,140.7821,0
15.5,21.1,5.4,6.4,0.9,31.0,6.0,7.0,93.0,86.0,1010.1,1008.6,8.0,8.0,16.6,20.0,1,1.4,1,-35.2809,149.13,0
13.7,17.6,7.4,5.6,8.2,41.0,7.0,13.0,99.0,68.0,1015.1,1015.8,7.2,6.6,14.8,16.5,1,0.2,0,-37.9144,141.2692,0
5.3,17.0,0.2,0.8399999999999999,10.48,31.0,2.0,13.0,94.0,77.0,1024.6,1020.8,2.6,3.6,11.1,16.0,0,0.0,0,-34.0278,115.1058,0
15.3,22.5,0.0,6.88,7.88,57.0,37.0,39.0,69.0,60.0,1030.3,1028.0,6.4,6.2,18.7,21.5,0,0.0,0,-28.0167,153.4,0
2.2,19.9,0.0,1.6,10.16,19.0,0.0,6.0,81.0,37.0,1025.8,1022.7,2.6,1.0,10.7,19.4,0,0.0,0,-37.8232,145.0078,0
2.2,20.8,0.0,3.0,10.0,35.0,13.0,17.0,65.0,22.0,1027.1,1023.2,0.0,0.0,9.5,20.3,0,0.0,0,-29.4648,149.8343,0
15.6,26.3,0.4,4.639999999999999,7.139999999999999,39.6,0.0,6.0,84.0,63.0,1021.64,1018.0800000000002,2.0,4.0,21.8,24.5,0,0.0,0,-32.9283,151.7817,1
